start,end,time,year
8429,106369,1950-03-01,1950
39499,106369,1950-03-01,1950
39499,32492,1957-03-01,1957
39499,41529,1958-03-01,1958
39499,13310,1958-03-01,1958
11552,39499,1950-03-01,1950
11552,8429,1950-03-01,1950
11552,106369,1951-03-01,1951
41789,39499,1950-03-01,1950
41789,12773,1951-03-01,1951
13119,11552,1950-03-01,1950
42791,106369,1950-03-01,1950
42791,39499,1950-03-01,1950
79540,42791,1950-03-01,1950
13382,8429,1950-03-01,1950
13382,11552,1950-03-01,1950
12773,39499,1950-03-01,1950
12773,106142,1951-03-01,1951
12773,91206,1952-03-01,1952
12773,110734,1952-03-01,1952
12902,11552,1950-03-01,1950
12902,88308,1951-03-01,1951
11649,8429,1950-03-01,1950
11649,13382,1950-03-01,1950
110223,56125,1950-03-01,1950
46919,110223,1950-03-01,1950
46919,41477,1951-03-01,1951
46919,110223,1951-03-01,1951
72693,46919,1950-03-01,1950
72693,56125,1950-03-01,1950
64906,20813,1950-03-01,1950
41704,64906,1950-03-01,1950
20813,110223,1950-03-01,1950
20813,46919,1950-03-01,1950
71913,20813,1950-03-01,1950
71913,106369,1951-03-01,1951
71913,95766,1951-03-01,1951
41838,72693,1950-03-01,1950
10958,110223,1950-03-01,1950
10958,46919,1950-03-01,1950
89339,10958,1950-03-01,1950
33354,72693,1950-03-01,1950
33354,51122,1951-03-01,1951
91231,33354,1950-03-01,1950
91231,44311,1951-03-01,1951
91231,41477,1951-03-01,1951
13143,56125,1950-03-01,1950
13143,72693,1950-03-01,1950
13143,41800,1952-03-01,1952
13143,12976,1953-03-01,1953
13143,20655,1953-03-01,1953
44412,13143,1950-03-01,1950
44412,11552,1952-03-01,1952
44334,56125,1950-03-01,1950
44334,13143,1950-03-01,1950
92711,20813,1950-03-01,1950
39355,72028,1950-03-01,1950
70187,72028,1950-03-01,1950
20764,70187,1950-03-01,1950
20764,39355,1950-03-01,1950
20764,12951,1951-03-01,1951
91146,20764,1950-03-01,1950
33365,39355,1950-03-01,1950
33365,20764,1950-03-01,1950
